"A Silent Voice <br>vol. 6                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1419799406i/23546982.jpg ";"manga   ";"Y.    ";"Oima       ";"a silent voice                  ";6;f
"A Silent Voice <br>vol. 7                            ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1424806763i/25011719.jpg ";"manga   ";"Y.    ";"Oima       ";"a silent voice                  ";7;g
"Love is War <br>vol. 1                               ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1513212409i/36100762.jpg ";"manga   ";"A.    ";"Akasaka    ";"love is war                     ";1;a
"Love is War <br>vol. 2                               ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1517562638i/36495869.jpg ";"manga   ";"A.    ";"Akasaka    ";"love is war                     ";2;b
"Komi Can't Communicate <br>vol. 1                    ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1559016252i/46029443.jpg ";"manga   ";"T.    ";"Oda        ";"komi can't communicate          ";1;a
"Komi Can't Communicate <br>vol. 2                    ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554035239i/42870329.jpg ";"manga   ";"T.    ";"Oda        ";"komi can't communicate          ";2;b
"Komi Can't Communicate <br>vol. 3                    ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1561288948i/43909475.jpg ";"manga   ";"T.    ";"Oda        ";"komi can't communicate          ";3;c
"Komi Can't Communicate <br>vol. 4                    ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1564946335i/43909466.jpg ";"manga   ";"T.    ";"Oda        ";"komi can't communicate          ";4;d
"Komi Can't Communicate <br>vol. 5                    ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1502355014i/35994623.jpg ";"manga   ";"T.    ";"Oda        ";"komi can't communicate          ";5;e
"Fire Force <br>vol. 2                                ";"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470785655i/30315807.jpg ";"manga   ";"A.    ";"Ohkubo     ";"fire force                      ";2;b
