Små planter;https://www.lego.com/cdn/cs/set/assets/bltb2f845ffd52a25b0/10329.png?format=webply&fit=bounds&quality=75&width=800&height=800&dpr=1;Botanical Collection;10329
Bonsaitræ;https://www.lego.com/cdn/cs/set/assets/blt7a3923c3488bb88c/10281_alt2.png?format=webply&fit=bounds&quality=75&width=800&height=800&dpr=1;Botanical Collection;10281
Han Solo;https://www.lego.com/cdn/cs/set/assets/blt5a0e42f78b4cc9eb/41608.jpg?format=webply&fit=bounds&quality=75&width=800&height=800&dpr=1;Star Wars;41608
Orkidé;https://www.lego.com/cdn/cs/set/assets/blt08ea230311e717b8/10311.png?format=webply&fit=bounds&quality=75&width=800&height=800&dpr=1;Botanical Collection;10311
